Node0_title {海上相遇}
Node0_a_a {你站在舵旁，盘算着接下来的航线，忽然听见桅盘上方传来一声哨响。片刻之后，瞭望员出现在你面前，报告说前方发现了一艘悬挂$key($nationI($ctx(nation))AdjRoot)旗帜的船。$br$red “$ctx(shipName)”是一艘$rand(三桅帆船|双桅三角帆船|福禄特帆船)，正横切你的航线驶来，炮门紧闭。你举起望远镜，看见对方船长正在向你打信号。你派了一名传令员乘小艇过去，问清他们想做什么。$br$red 十分钟后，回报送来：‘$ctx(shipName)’上的淡水情况十分糟糕。风暴中他们被大浪狠狠掀了一下，货舱里的水桶全都翻倒，如今只能勉强节省着用。他们请求你分一些补给给他们。}
Node0_a_a_action {当然！}
Node0_a_a_success {上帝教导人要分享，而你遵循了这条诫命。今天你在别人艰难时伸出援手，明天好运也不会离你而去。你分出几桶清水给那位商人，并祝他一路顺风。船员们都认为你做得对。}
Node0_a_a_success_action {换了谁都会这么做}
Node0_a_b_action {这不是白给的}
Node0_a_b_success {你觉得，要无偿帮助一群也许这辈子都不会再见的陌生人，未免太过了。若那位船长想平安到港，就得为你的淡水付钱。$br$red “$ctx(shipName)”号的船长答应了这笔交易，你便把清水转运到了他们船上。船员们对此意见不一。有人觉得你做得对，也有人开始念叨什么不贪财的美德。}
Node0_a_b_success_action {诫命可抹不到饼干上}
Node0_a_c_action {我们帮不了你们}
Node0_a_c_success {你以自己补给有限为由拒绝了他们的请求。}
Node0_a_c_success_action {世道残酷}
Node0_a_b {你正在自己的船舱里忙着，忽然听见一声炮响，以及瞭望手压低了却仍带着惊慌的喊声。你登上甲板，立刻命人禀报情况。$br$red前方正漂着一艘属于$key($nationI($ctx(nation))Gen)的“$ctx(shipName)”。你仔细打量这艘$rand(双桅横帆船|福禄特帆船|盖伦船|三桅帆船)，立刻就看出几分不对劲：栏杆上挂着床单，甲板上人影稀少，桅杆上的旗帜也都半垂着——这是船上闹疫病的征兆。你派出一名信使乘小艇过去查明详情。$br$red信使回来禀报，说那船上正流行$rand(沼泽热|黄疸|疟疾)。他们自己的医生因为接触病人，反倒最先倒下，如今全船已经近乎绝望。他们愿意拿任何东西来换你的药，只求别再继续死人。表面看，这只是一次寻常的求援，可与一艘染病的船只近距离接触，始终是个风险。}
Node0_b_a_action {我们会帮忙}
Node0_b_a_success {你决定冒这个险，把船靠了上去，两舷相接。水手们把药运过去，也帮着处理那些尸体。你做得像个真正正直的基督徒，没有把苦难中的人丢下不管，可这份高尚终究要付出沉重代价。船刚一驶离，你便感到虚弱乏力，浑身不适。}
Node0_b_a_success_action {我们已经尽力了}
Node0_b_b_action {放下装药的小艇}
Node0_b_b_success {小艇装不了多少药，想把它运上“$ctx(shipName)”号也不会轻松，但这已经是你愿意做到的极限了。带着一种尽了本分、问心无愧的心情，你下令升帆离去。}
Node0_b_b_success_action {他们已在主的手中}
Node0_b_c_action {我不怕染病}
Node0_b_c_success {你一向以自己的强健体魄为傲，这几个月来，也一直在自己的船上推行健康的生活习惯。你毫不惧怕疫病，把药物送上“$ctx(shipName)”号。他们真心实意地感激你，还答应要把你的援手传扬出去。$br$red到了傍晚，你感到身体有些不适，但若能救人，这点代价根本不算什么。}
Node0_b_c_success_action {我们的斗志不会被击垮！}
Node0_b_d_action {我们帮不了你们}
Node0_b_d_success {你以害怕染病为由拒绝了他们的请求。船员们赞成这个决定，可你的良心却并不安宁。风险当真大到值得你把身陷绝境的人弃之不顾吗？等待他们的，可是必死无疑……}
Node0_b_d_success_action {世道本就残酷}
Node0_a_c {在停船捕鱼和检修索具的时候，船只正处在脆弱状态，你照例举着望远镜细看远处，$rand(替瞭望手分担视野|始终不让目光离开海平线)。$br$red临近正午，地平线上出现了一艘悬挂$key($nationI($ctx(nation))Gen)旗帜的$rand(纵帆船|三桅横帆船|巴肯廷帆船|福禄特帆船|平纳斯帆船)。它的炮门紧闭，吃水$rand(极深|很深)——显然不是什么伪装起来的海盗船。对方向你发出接近请求，你答应了，想看看他们究竟打什么主意。$br$red当“$ctx(shipName)”与您并排靠近时，他们的传令员登上了你的甲板。他说，他们的船长在上一趟航程里弄到了一批$rand(不错的|数量可观的)奴隶，可粮食储备$rand(多少|稍稍)算错了些，如今正发愁该怎么处理。$br$red“$ctx(shipName)”的军需官提议，用一点活货跟你$rand(交换|换取)给养。}
Node0_c_a_action {我们同意}
Node0_c_a_success {你答应了这笔交易。奴隶总能卖出好价钱，这样的机会没道理放过。“$ctx(shipName)”的水手把戴着镣铐的奴隶押进你的货舱，而你则把成捆的口粮和一桶桶清水交给他们作为交换。船上有些人不赞成贩奴，但你根本不在乎。}
Node0_c_a_success_action {黑色象牙}
Node0_c_b_action {我们也可以直接把补给卖给你}
Node0_c_b_success {你提出给“$ctx(shipName)”的船长一些补给，条件是让他在目的港替你美言几句。对方欣然答应。你船上的人觉得这做法古怪，可没人敢开口反对你。}
Node0_c_b_success_action {这是在为将来铺路}
Node0_c_c_action {那更大一批呢？}
Node0_c_c_success {你拿出自己的买卖本事，说服“$ctx(shipName)”的船长，交出一批比他原先打算更多的奴隶。经过一番简短交涉，双方敲定了一个彼此都能接受的数目。只是船上人对一下子装进这么多奴隶，多少有些不满。}
Node0_c_c_success_action {我们要发财了！}
Node0_c_d_action {这买卖我们不感兴趣}
Node0_c_d_success {你拒绝了这笔交易，下令继续航行。贩奴这门买卖对你毫无吸引力，而船员们也支持这个决定。}
Node0_c_d_success_action {凡事皆有其限}
Node0_a_d {你正在甲板上向军官们交代早晨的安排，忽然听见瞭望手吹响口哨。他抬手指向地平线，随后爬下来向你禀报。$br$red视野中出现了一艘$key($nationI($ctx(nation))AdjRoot)船——$rand(双桅横帆船|轻型护卫舰|武装纵帆船|雪型帆船|西贝克帆船)“$ctx(shipName)”。那船走得很不利索，吃水很深，船帆也破破烂烂。你下令靠近，并派出传令员。$br$red很快 выяснилось，这是一艘$key($nationI($ctx(nation))AdjRoot)巡逻船。就在不久前，他们刚成功袭击了一支属于敌国$key(people$nationI($ctx(enemyNation))Gen)的商队。如今船舱里装满了货物，可船上的帆布储备却已经耗得干干净净。他们提出，愿意拿一部分货物来换帆布。}
Node0_d_a_action {乐意之至}
Node0_d_a_success {你答应了交换。水手们来回搬运货物的时候，你顺势问起“$ctx(shipName)”船长近来的经历。$br$red他讲起一段颇为精彩的故事，说自己$rand(在$rand(马提尼克|瓜德罗普|特立尼达|库拉索)近海撞上了一艘海盗双桅横帆船，并狠狠干了一仗|端掉了一伙就在总督眼皮子底下活动的走私团伙|在巡逻途中遭遇了一场可怕的风暴，差点沉进海里|撞上了一座几乎看不见的环礁，位置在$rand(古巴附近|伊斯帕尼奥拉不远处|波多黎各与托尔图加之间)|在给船只翻修时遭到了一伙印第安人的伏击)。}
Node0_d_a_success_action {真有意思！}
Node0_d_b_action {我们帮你们修船}
Node0_d_b_success {你们合力修理那艘船。水手们忙着补缀船帆时，船长端着一杯酒，给你讲起了一段惊心动魄的经历，说他是如何$rand(在$rand(马提尼克|瓜德罗普|特立尼达|库拉索)近海撞上一艘海盗双桅横帆船，并狠狠干了一仗|端掉了一伙就在总督眼皮子底下活动的走私团伙|在巡逻途中遭遇了一场骇人的风暴，差点连船带人一并沉了|撞上一座几乎看不见的环礁，地点在$rand(古巴附近|伊斯帕尼奥拉不远处|波多黎各与托尔图加之间)|在给船只翻修时遭到一伙印第安人的伏击)。}
Node0_d_b_success_action {真了不起！}
Node0_d_c_action {我们帮不上这个忙}
Node0_d_c_success {你拒绝了交换，把那艘船丢在了船尾后方。船员们显然不喜欢这个决定，可谁也不敢明着说出来。}
Node0_d_c_success_action {我们自己更缺这个}
Node0_a_e {在$key($ctx(islandName)Gen)沿岸，你遇上一艘小型近海船。船上的人正$rand(拼命挥舞旗帜|疯狂挥旗)想引起你的注意。你$rand(放下一只小艇，派去传令员|派出小艇和一名传令员)。$br$red传令员回来禀报，说他们要找的正是你：他们船上正闹着一场$rand(激烈争执|大吵大闹)，眼看就要$rand(闹成一场屠杀|见血收场)，而那艘名字颇为神气的“$ctx(shipName)”的船长，希望请你去做个$rand(中立裁判|公道仲裁人)。只要你肯$rand(凭良心裁断此事|凭良心说一句公道话)，他们$rand( обещают награду|答应付你报酬)。}
Node0_e_a_action {这事不难}
Node0_e_a_success {你决定替他们断这个官司——也许是出于兴趣，也许只是闲极无聊，也许真想帮上一把。等你登船之后，很快就弄清了事情原委。$br$red原来，他们在测量近岸水深时，测深铅绳像接舷钩似的，勾住了海底某个沉重的东西。打捞上来的，是一只锈迹斑斑、上着锁的箱子，里面装着黄金小像和金币。测深员声称宝物理应归他所有，船长却坚持说，按海上的规矩，这些财宝该分。$br$red你以公断人的身份出面，很轻松地平息了这场争端。为了表示感谢，他们送了你一部分金币。}
Node0_e_a_success_action {长见识了}
Node0_e_b_action {我们没空管这个}
Node0_e_b_success {你拒绝去给一场关于鱼和酸菜的争执当仲裁人，并下令继续航行。船员们心领神会地点了点头。}
Node0_e_b_success_action {真是个有趣的故事}
Node0_e_c_action {开火！}
Node0_e_c_success {你认定这是一场精心布置的陷阱，专门为了把你引过去，于是下令炮击。只一发命中，便足以让那小船灌满海水，飞快沉没。你看见船上的人纷纷跳海逃命。$br$red这桩残酷行径很快就会传得人尽皆知。}
Node0_e_c_success_action {腿肚子开始打颤了吗？}
Node0_a_f {晚间值更时，你在地平线上发现了一艘_$key($nationI($ctx(nation))AdjRoot)船。首先引起你注意的，是它异常深重的吃水。那船压得极低，船名牌“$ctx(shipName)”几乎都快贴到水面。你们靠近后，对方放下一只小艇朝你驶来。$br$red使者禀报说，他们的另一艘船撞上暗礁，吃水线下方破裂，已经沉没，他们只得仓促抢救货物。如今这艘船的货舱塞得满满当当——甘蔗、盐、烟草、香料，连甲板上都堆着箱子。$br$red他们的船长担心，只要浪头再高一些，海水就会从炮门灌进去，把这艘船也一并送进海底。他们提出，愿意按公道价把一部分货物卖给你。}
Node0_f_a_action {划算的买卖}
Node0_f_a_success {这种机会可不常有，你自然乐得答应这笔交易。货物很快转运到你的船上，而你已经开始盘算转手之后能赚多少。}
Node0_f_a_success_action {钱真是长在树上}
Node0_f_b_action {这些货，我们直接抢}
Node0_f_b_success {你很快得出结论：“$ctx(shipName)”简直是天赐横财，唾手可得。那艘船的船长和船员显然根本没有讨价还价的底气。你下令打开炮门，准备好接舷钩。$br$red他们一见你的架势，立刻挂起白旗投降。你把夺来的货物装进自家货舱，还不忘刻薄地补上一句——他们的麻烦，算是被你用自己的办法解决了。}
Node0_f_b_success_action {世道如此残酷}
Node0_f_c_action {这买卖我们不感兴趣}
Node0_f_c_success {你拒绝了这笔交易，把那艘船抛在船尾后方。眼下做买卖不在你的打算之内，你更想把货舱里那点空位留给更有用的东西。}
Node0_f_c_success_action {而那东西总会有的}
Node0_a_g {在公海上，你遇见一艘_$key($nationI($ctx(nation))AdjRoot)船。对方向你发出信号，请求谈判。见他们炮门紧闭，又挂着商船信号旗，你判断这船并无威胁，便下令靠近。$br$red对方船长登上你的甲板，向你说明了一桩棘手的麻烦。在$key(Colony$ctx(cityA)Voc)，他们载上了一名乘客——$casedName($ctx(passengerName)|Gen)。他想搭船去$key(Colony$ctx(cityB)Gen)，这原本看上去是笔轻松赚来的钱。可航程才走到一半，$ctx(passengerName)就不知因为什么跟船员闹翻了，还在船上狠狠干了一架。如今他被关在货舱里，却还不停挑起新的冲突。$br$red他们提出，愿意付你一笔酬劳，把这个闹事的乘客交给你带走。}
Node0_g_a_action {有何不可}
Node0_g_a_success {你答应把这个暴躁的乘客接进自己船上的货舱。到了你的船上，他显然很快就会老实下来。“$ctx(shipName)”号的船长真心实意地感谢你，送上一把金子和宝石。}
Node0_g_a_success_action {这人能卖个好价钱}
Node0_g_b_action {直接把他吊到桅桁上去}
Node0_g_b_success {$ctx(passengerName)违反了船上的规矩，伤害了船员，还成了整条船的威胁。在军舰上，犯下这种事足够掉脑袋了，于是你建议船长直接把这个闹事者处决掉。对方吓得断然拒绝，而你随即表示，也可以代劳。$br$red那位船长向你道谢之后便匆匆回到自己的船上。“$ctx(shipName)”满帆驶离。至于你嗜血的名声，已经开始在船上传开。}
Node0_g_b_success_action {Chó chết chẳng oan}
Node0_g_c_action {这事我们不感兴趣}
